family	n_sequences_total	n_sequences_sampled
RF01610	20	10
RF01611	21	10
RF01612	12	10
RF01613	24	10
RF01614	10	10
RF01615	49	10
RF01617	13	10
RF01618	18	10
RF01619	8	8
RF01620	18	10
RF01621	8	8
RF01622	21	10
RF01623	19	10
RF01624	11	10
RF01625	10	10
RF01626	9	9
RF01627	27	10
RF01628	8	8
RF01629	85	10
RF01630	35	10
RF01631	13	10
RF01632	9	9
RF01633	12	10
RF01634	10	10
RF01635	12	10
RF01636	8	8
RF01637	58	10
RF01638	12	10
RF01639	10	10
RF01640	10	10
RF01641	10	10
RF01642	12	10
RF01643	10	10
RF01644	13	10
RF01645	22	10
RF01646	8	8
RF01647	8	8
RF01648	9	9
RF01649	9	9
RF01650	1	1
RF01651	10	10
RF01652	19	10
RF01653	19	10
RF01654	21	10
RF01655	22	10
RF01656	462	10
RF01658	12	10
RF01659	9	9
RF01660	93	10
RF01661	21	10
RF01662	9	9
RF01663	9	9
RF01664	19	10
RF01665	2	2
RF01666	10	10
RF01667	13	10
RF01668	705	10
RF01669	564	10
RF01670	67	10
RF01671	25	10
RF01672	2	2
RF01673	845	10
RF01674	626	10
RF01675	1602	10
RF01676	188	10
RF01677	2	2
RF01678	5	5
RF01679	90	10
RF01680	2	2
RF01681	12	10
RF01682	2	2
RF01683	5	5
RF01684	1055	10
RF01685	1361	10
RF01686	52	10
RF01687	15136	10
RF01688	2995	10
RF01689	1217	10
RF01690	12943	10
RF01691	237	10
RF01692	662	10
RF01693	1841	10
RF01694	117	10
RF01695	11991	10
RF01696	100	10
RF01697	142	10
RF01698	5	5
RF01699	7967	10
RF01700	158	10
RF01701	1406	10
RF01702	105	10
RF01703	5	5
RF01704	1012	10
RF01705	29434	10
RF01706	7139	10
RF01707	544	10
RF01708	378	10
RF01709	109	10
RF01710	49	10
RF01711	62	10
RF01712	85	10
RF01713	40	10
RF01714	3	3
RF01715	26	10
RF01716	37	10
RF01717	373	10
RF01718	65	10
RF01719	470	10
RF01720	344	10
RF01721	677	10
RF01722	8	8
RF01723	146	10
RF01724	92	10
RF01725	2459	10
RF01726	4467	10
RF01727	966	10
RF01728	480	10
RF01729	39	10
RF01730	18	10
RF01731	6469	10
RF01732	266	10
RF01733	109	10
RF01734	10617	10
RF01735	1320	10
RF01736	359	10
RF01737	14	10
RF01738	388	10
RF01739	1613	10
RF01740	628	10
RF01742	27	10
RF01743	26	10
RF01744	81	10
RF01745	185	10
RF01746	2481	10
RF01747	2680	10
RF01748	181	10
RF01749	1708	10
RF01750	10393	10
RF01751	127	10
RF01752	160	10
RF01753	50	10
RF01754	1394	10
RF01755	672	10
RF01756	453	10
RF01757	81	10
RF01758	628	10
RF01759	259	10
RF01760	588	10
RF01761	156	10
RF01762	367	10
RF01763	2832	10
RF01764	2025	10
RF01765	5	5
RF01766	5780	10
RF01767	479	10
RF01768	6	6
RF01769	458	10
RF01770	773	10
RF01771	175	10
RF01772	415	10
RF01773	390	10
RF01774	19	10
RF01775	57	10
RF01776	416	10
RF01778	289	10
RF01779	2	2
RF01780	9	9
RF01781	1171	10
RF01782	24531	10
RF01783	2	2
RF01784	168	10
RF01785	7	7
RF01786	3655	10
RF01787	6044	10
RF01788	427	10
RF01789	5	5
RF01790	8	8
RF01791	478	10
RF01792	5	5
RF01793	2083	10
RF01794	1087	10
RF01795	33	10
RF01796	312	10
RF01797	249	10
RF01798	1	1
RF01800	5	5
RF01802	6	6
RF01803	1565	10
RF01804	12	10
RF01807	13	10
RF01808	152	10
RF01809	480	10
RF01810	44	10
RF01811	70	10
RF01812	63	10
RF01813	80	10
RF01814	497	10
RF01815	244	10
RF01816	49	10
RF01817	2	2
RF01818	6	6
RF01819	50	10
RF01820	606	10
RF01821	53	10
RF01822	4	4
RF01823	394	10
RF01824	8	8
RF01825	7	7
RF01826	483	10
RF01827	398	10
RF01828	4	4
RF01829	1	1
RF01830	650	10
RF01831	6725	10
RF01832	253	10
RF01833	5	5
RF01834	5	5
RF01835	21	10
RF01836	8	8
RF01837	4	4
RF01838	4	4
RF01839	5	5
RF01840	16	10
RF01841	9	9
RF01842	15	10
RF01843	3	3
RF01844	368	10
RF01845	330	10
RF01846	1270	10
RF01847	3421	10
RF01848	1689	10
RF01849	6635	10
RF01850	223	10
RF01851	409	10
RF01852	16790	10
RF01853	579	10
RF01854	10937	10
RF01855	4572	10
RF01856	108	10
RF01857	2483	10
RF01858	5	5
RF01859	1467	10
RF01860	455	10
RF01861	19	10
RF01862	11	10
RF01863	1	1
RF01864	11	10
RF01865	4	4
RF01866	9	9
RF01867	864	10
RF01871	91	10
RF01872	92	10
RF01873	87	10
RF01874	82	10
RF01875	100	10
RF01876	69	10
RF01877	125	10
RF01879	115	10
RF01880	76	10
RF01881	83	10
RF01882	127	10
RF01883	97	10
RF01884	520	10
RF01885	14	10
RF01886	16	10
RF01887	98	10
RF01888	104	10
RF01889	8	8
RF01890	2	2
RF01891	139	10
RF01892	123	10
RF01894	489	10
RF01895	299	10
RF01896	139	10
RF01897	104	10
RF01898	161	10
RF01899	7	7
RF01900	9	9
RF01901	19	10
RF01902	31	10
RF01903	211	10
RF01904	36	10
RF01905	78	10
RF01906	87	10
RF01909	109	10
RF01910	42	10
RF01911	1906	10
RF01912	3733	10
RF01913	40	10
RF01914	107	10
RF01915	25	10
RF01916	26	10
RF01917	236	10
RF01918	28	10
RF01919	19	10
RF01920	69	10
RF01921	26	10
RF01922	63	10
RF01923	73	10
RF01924	2853	10
RF01925	66	10
RF01926	158	10
RF01927	8	8
RF01928	104	10
RF01929	10	10
RF01930	11	10
RF01931	17	10
RF01932	16	10
RF01933	13	10
RF01934	14	10
RF01935	5	5
RF01936	23	10
RF01937	791	10
RF01938	18	10
RF01939	59	10
RF01940	2	2
RF01941	17	10
RF01943	156	10
RF01944	39	10
RF01945	334	10
RF01946	104	10
RF01947	100	10
RF01948	75	10
RF01950	99	10
RF01951	431	10
RF01952	70	10
RF01953	399	10
RF01954	272	10
RF01955	173	10
RF01956	166	10
RF01957	179	10
RF01959	33405	10
RF01960	57018	10
RF01962	84	10
RF01963	126	10
RF01964	87	10
RF01965	101	10
RF01966	112	10
RF01967	456	10
RF01968	454	10
RF01969	367	10
RF01970	456	10
RF01971	118	10
RF01972	87	10
RF01973	73	10
RF01974	70	10
RF01975	91	10
RF01976	446	10
RF01977	66	10
RF01978	94	10
RF01979	95	10
RF01981	106	10
RF01982	204	10
RF01983	115	10
RF01984	322	10
RF01985	64	10
RF01986	145	10
RF01987	67	10
RF01988	88	10
RF01989	4185	10
RF01990	307	10
RF01991	13	10
RF01992	111	10
RF01996	14	10
RF01997	14	10
RF01998	4391	10
RF01999	3947	10
RF02000	52	10
RF02001	13043	10
RF02003	3460	10
RF02004	1706	10
RF02005	6381	10
RF02006	19	10
RF02007	12	10
RF02008	17	10
RF02009	12	10
RF02010	6	6
RF02011	4	4
RF02012	2790	10
RF02014	19	10
RF02015	16	10
RF02016	10	10
RF02017	75	10
RF02018	15	10
RF02019	37	10
RF02020	118	10
RF02021	25	10
RF02022	13	10
RF02023	8	8
RF02024	25	10
RF02025	51	10
RF02026	6	6
RF02027	95	10
RF02028	14	10
RF02029	397	10
RF02030	416	10
RF02031	384	10
RF02032	148	10
RF02033	4544	10
RF02034	293	10
RF02035	605	10
RF02036	33	10
RF02037	45	10
RF02038	98	10
RF02039	110	10
RF02040	70	10
RF02041	449	10
RF02042	117	10
RF02043	110	10
RF02044	21	10
RF02045	93	10
RF02046	215	10
RF02047	258	10
RF02048	3	3
RF02049	5	5
RF02050	5	5
RF02051	99	10
RF02052	26	10
RF02053	133	10
RF02054	4	4
RF02055	7	7
RF02056	7	7
RF02057	193	10
RF02058	39	10
RF02059	4	4
RF02060	22	10
RF02061	373	10
RF02062	4	4
RF02063	5	5
RF02064	31	10
RF02065	7	7
RF02066	10	10
RF02067	9	9
RF02068	28	10
RF02069	26	10
RF02070	6	6
RF02071	4	4
RF02072	4	4
RF02073	8	8
RF02074	252	10
RF02075	47	10
RF02076	243	10
RF02077	6	6
RF02078	4	4
RF02079	151	10
RF02080	6	6
RF02081	277	10
RF02082	22	10
RF02083	13	10
RF02084	170	10
RF02085	14	10
RF02086	12	10
RF02087	9	9
RF02088	6	6
RF02089	82	10
RF02090	118	10
RF02091	185	10
RF02092	123	10
RF02093	207	10
RF02094	60	10
RF02095	302	10
RF02097	37	10
RF02098	28	10
RF02099	1	1
RF02100	163	10
RF02101	111	10
RF02102	35	10
RF02103	227	10
RF02104	83	10
RF02105	141	10
RF02106	77	10
RF02107	91	10
RF02108	108	10
RF02109	309	10
RF02110	191	10
RF02111	180	10
RF02112	126	10
RF02113	118	10
RF02114	58	10
RF02115	94	10
RF02116	110	10
RF02117	69	10
RF02118	84	10
RF02119	74	10
RF02120	75	10
RF02121	86	10
RF02122	110	10
RF02123	79	10
RF02124	132	10
RF02125	58	10
RF02126	65	10
RF02127	108	10
RF02128	96	10
RF02129	37	10
RF02130	108	10
RF02131	102	10
RF02132	90	10
RF02133	85	10
RF02134	15	10
RF02135	14	10
RF02136	14	10
RF02137	60	10
RF02138	357	10
RF02139	92	10
RF02140	381	10
RF02141	422	10
RF02142	100	10
RF02143	109	10
RF02144	679	10
RF02145	93	10
RF02146	86	10
RF02147	73	10
RF02148	103	10
RF02149	99	10
RF02150	92	10
RF02151	81	10
RF02153	328	10
RF02154	93	10
RF02155	15	10
RF02156	91	10
RF02157	68	10
RF02158	99	10
RF02159	118	10
RF02160	469	10
RF02161	75	10
RF02162	287	10
RF02163	362	10
RF02164	115	10
RF02165	109	10
RF02166	196	10
RF02167	85	10
RF02168	111	10
RF02169	84	10
RF02170	35	10
RF02171	15	10
RF02172	30	10
RF02173	118	10
RF02174	90	10
RF02175	99	10
RF02176	108	10
RF02177	63	10
RF02178	65	10
RF02179	97	10
RF02180	87	10
RF02181	17	10
RF02182	29	10
RF02183	84	10
RF02184	44	10
RF02185	101	10
RF02186	13	10
RF02187	107	10
RF02188	110	10
RF02189	117	10
RF02190	96	10
RF02191	56	10
RF02192	82	10
RF02193	109	10
RF02194	221	10
RF02195	108	10
RF02196	74	10
RF02197	23	10
RF02198	89	10
RF02199	86	10
RF02200	66	10
RF02201	100	10
RF02202	8	8
RF02203	94	10
RF02204	93	10
RF02205	119	10
RF02206	86	10
RF02207	16	10
RF02208	86	10
RF02209	403	10
RF02210	117	10
RF02211	15	10
RF02212	69	10
RF02213	23	10
RF02214	3	3
RF02215	117	10
RF02216	182	10
RF02217	17	10
RF02218	46	10
RF02219	186	10
RF02220	22	10
RF02221	2121	10
RF02222	38	10
RF02223	84	10
RF02224	84	10
RF02225	97	10
RF02226	74	10
RF02227	68	10
RF02228	1957	10
RF02230	116	10
RF02231	28	10
RF02232	345	10
RF02233	44	10
RF02234	166	10
RF02235	305	10
RF02237	5	5
RF02238	35	10
RF02239	2	2
RF02240	74	10
RF02241	35	10
RF02242	205	10
RF02243	42	10
RF02244	8	8
RF02245	3	3
RF02246	93	10
RF02247	106	10
RF02248	79	10
RF02249	116	10
RF02250	360	10
RF02251	37	10
RF02252	262	10
RF02253	625	10
RF02254	5	5
RF02255	11	10
RF02256	6	6
RF02257	9	9
RF02258	8	8
RF02259	4	4
RF02260	228	10
RF02261	112	10
RF02262	101	10
RF02263	203	10
RF02264	158	10
RF02265	207	10
RF02266	53	10
RF02267	128	10
RF02268	95	10
RF02269	75	10
RF02270	3	3
RF02271	74083	10
RF02272	95	10
RF02273	20	10
RF02274	25	10
RF02275	752	10
RF02276	1303	10
RF02277	82	10
RF02278	2996	10
RF02279	1	1
RF02280	1	1
RF02281	2	2
RF02282	1	1
RF02283	3	3
RF02284	1	1
RF02285	2	2
RF02286	1	1
RF02287	2	2
RF02288	2	2
RF02289	1	1
RF02290	1	1
RF02291	2	2
RF02292	1	1
RF02293	1	1
RF02294	2	2
RF02295	2	2
RF02296	1	1
RF02297	2	2
RF02298	1	1
RF02299	1	1
RF02300	1	1
RF02301	2	2
RF02302	2	2
RF02303	1	1
RF02304	1	1
RF02305	1	1
RF02306	1	1
RF02307	1	1
RF02308	1	1
RF02309	1	1
RF02310	1	1
RF02311	2	2
RF02312	1	1
RF02313	1	1
RF02314	2	2
RF02315	2	2
RF02316	2	2
RF02317	1	1
RF02318	1	1
RF02319	1	1
RF02320	1	1
RF02321	1	1
RF02322	1	1
RF02323	1	1
RF02324	1	1
RF02325	1	1
RF02326	1	1
RF02327	1	1
RF02328	1	1
RF02329	1	1
RF02330	2	2
RF02331	1	1
RF02332	1	1
RF02333	1	1
RF02334	1	1
RF02335	1	1
RF02336	1	1
RF02337	1	1
RF02338	1	1
RF02339	1	1
RF02340	2	2
RF02341	104	10
RF02342	656	10
RF02343	698	10
RF02344	3511	10
RF02345	1113	10
RF02346	621	10
RF02347	677	10
RF02348	193	10
RF02349	269	10
RF02350	13	10
RF02351	6	6
RF02353	310	10
RF02354	284	10
RF02355	446	10
RF02356	1381	10
RF02357	41	10
RF02358	1	1
RF02359	3	3
RF02360	163	10
RF02362	221	10
RF02363	65	10
RF02364	148	10
RF02365	182	10
RF02366	49	10
RF02367	158	10
RF02368	1	1
RF02369	15	10
RF02370	33	10
RF02371	41	10
RF02372	28	10
RF02373	254	10
RF02374	15	10
RF02375	143	10
RF02376	423	10
RF02377	11	10
RF02378	12	10
RF02379	381	10
RF02384	19	10
RF02385	60	10
RF02386	3	3
RF02387	1	1
RF02388	2	2
RF02389	1	1
RF02390	1	1
RF02392	1	1
RF02393	5	5
RF02394	1	1
RF02395	1	1
RF02396	47	10
RF02397	1	1
RF02398	1	1
RF02399	1677	10
RF02400	23	10
RF02401	179	10
RF02402	112	10
RF02403	24	10
RF02404	1	1
RF02405	325	10
RF02406	27	10
RF02407	223	10
RF02408	20	10
RF02409	17	10
RF02410	398	10
RF02411	263	10
RF02412	24	10
RF02413	246	10
RF02414	90	10
RF02415	9	9
RF02416	1	1
RF02417	2	2
RF02418	19	10
RF02419	93	10
RF02420	161	10
RF02421	636	10
RF02422	255	10
RF02423	251	10
RF02424	161	10
RF02425	93	10
RF02426	17	10
RF02427	6	6
RF02428	8	8
RF02429	2	2
RF02430	9	9
RF02431	183	10
RF02432	122	10
RF02433	31	10
RF02434	26	10
RF02435	81	10
RF02436	104	10
RF02437	66	10
RF02438	8	8
RF02439	5	5
RF02440	1190	10
RF02441	4	4
RF02442	199	10
RF02443	1	1
RF02444	14	10
RF02445	6	6
RF02446	195	10
RF02447	259	10
RF02448	45	10
RF02449	287	10
RF02450	10	10
RF02451	113	10
RF02452	407	10
RF02453	10	10
RF02454	21	10
RF02457	3	3
RF02458	1	1
RF02459	7	7
RF02460	1	1
RF02462	432	10
RF02463	327	10
RF02464	178	10
RF02465	55	10
RF02466	157	10
RF02468	1	1
RF02469	726	10
RF02470	120	10
RF02471	2453	10
RF02472	2	2
RF02473	1	1
RF02474	1	1
RF02475	1	1
RF02476	1	1
RF02477	1	1
RF02478	1	1
RF02479	1	1
RF02480	1	1
RF02481	1	1
RF02482	1	1
RF02483	1	1
RF02484	1	1
RF02485	1	1
RF02486	1	1
RF02487	1	1
RF02488	1	1
RF02489	1	1
RF02490	1	1
RF02491	1	1
RF02492	1	1
RF02493	1	1
RF02494	1	1
RF02495	10	10
RF02496	970	10
RF02497	27	10
RF02499	7	7
RF02500	1072	10
RF02501	214	10
RF02502	1065	10
RF02503	396	10
RF02504	79	10
RF02505	3	3
RF02506	228	10
RF02507	38	10
RF02508	2	2
RF02509	66	10
RF02510	2881	10
RF02511	1	1
RF02512	19	10
RF02514	16994	10
RF02516	607	10
RF02517	12	10
RF02518	1	1
RF02519	1	1
RF02520	181	10
RF02521	1	1
RF02522	1	1
RF02523	464	10
RF02524	9	9
RF02525	1	1
RF02526	51	10
RF02527	2	2
RF02528	14	10
RF02529	1	1
RF02530	3	3
RF02531	93	10
RF02534	3	3
RF02535	376	10
RF02536	1	1
RF02537	1	1
RF02538	1	1
RF02539	757	10
RF02540	2726	10
RF02541	44470	10
RF02542	1158	10
RF02543	89370	10
RF02544	32	10
RF02545	10	10
RF02546	8	8
RF02547	6	6
RF02548	12	10
RF02550	2	2
RF02551	298	10
RF02552	249	10
RF02553	1897	10
RF02556	27	10
RF02557	1	1
RF02558	1	1
RF02559	1	1
RF02560	2	2
RF02561	3	3
RF02562	1	1
RF02563	20	10
RF02564	1601	10
RF02565	1	1
RF02566	649	10
RF02567	11	10
RF02569	12	10
RF02570	1	1
RF02571	2	2
RF02572	1	1
RF02574	75	10
RF02575	3	3
RF02577	177	10
RF02578	53	10
RF02580	46	10
RF02581	1	1
RF02582	1	1
RF02583	3	3
RF02584	53	10
RF02589	84	10
RF02590	2	2
RF02591	3	3
RF02592	74	10
RF02593	76	10
RF02594	112	10
RF02595	3	3
RF02596	89	10
RF02597	1	1
RF02598	72	10
RF02600	525	10
RF02601	32	10
RF02603	25	10
RF02604	32	10
RF02605	762	10
RF02606	58	10
RF02607	2	2
RF02608	118	10
RF02609	1	1
RF02610	1	1
RF02611	1	1
RF02612	22	10
RF02613	31	10
RF02614	2	2
RF02615	1	1
RF02616	61	10
RF02617	180	10
RF02618	3	3
RF02619	1	1
RF02620	26	10
RF02621	146	10
RF02622	10	10
RF02623	22	10
RF02624	1	1
RF02625	691	10
RF02626	16	10
RF02628	105	10
RF02629	2	2
RF02630	1	1
RF02631	12	10
RF02632	4	4
RF02633	7	7
RF02634	12	10
RF02635	1	1
RF02637	1	1
RF02638	1	1
RF02639	1	1
RF02640	16	10
RF02641	2	2
RF02642	1	1
RF02643	4	4
RF02644	3	3
RF02645	1049	10
RF02646	792	10
RF02647	1221	10
RF02648	153	10
RF02649	162	10
RF02650	6	6
RF02651	364	10
RF02652	5	5
RF02654	188	10
RF02655	1	1
RF02656	985	10
RF02657	166	10
RF02659	2	2
RF02660	4	4
RF02661	1	1
RF02662	1	1
RF02663	2	2
RF02664	22	10
RF02665	18	10
RF02666	7	7
RF02667	15	10
RF02668	14	10
RF02669	14	10
RF02670	5	5
RF02671	7	7
RF02672	8	8
RF02673	1126	10
RF02674	2114	10
RF02675	6767	10
RF02676	2	2
RF02677	62	10
RF02678	28	10
RF02679	229	10
RF02680	95	10
RF02681	104	10
RF02682	1928	10
RF02683	1161	10
RF02684	129	10
RF02685	45	10
RF02686	2	2
RF02687	13	10
RF02688	113	10
RF02689	5	5
RF02690	62	10
RF02691	67	10
RF02692	248	10
RF02693	1	1
RF02694	4	4
RF02695	242	10
RF02696	1	1
RF02697	1	1
RF02698	9	9
RF02699	2	2
RF02700	14	10
RF02701	273	10
RF02702	2	2
RF02703	2	2
RF02705	22	10
RF02706	16	10
RF02707	25	10
RF02708	2	2
RF02709	1	1
RF02711	3	3
RF02712	2	2
RF02713	15	10
RF02714	12	10
RF02715	7	7
RF02716	1	1
RF02717	1	1
RF02718	13	10
RF02720	1	1
RF02721	16	10
RF02722	2	2
RF02723	285	10
RF02724	79	10
RF02725	87	10
RF02726	5	5
RF02727	12	10
RF02728	27	10
RF02730	4	4
RF02731	21	10
RF02732	73	10
RF02733	1	1
RF02734	4	4
RF02735	3264	10
RF02736	559	10
RF02737	16	10
RF02738	292	10
RF02740	13	10
RF02741	40	10
RF02742	18	10
RF02743	238	10
RF02744	571	10
RF02745	104	10
RF02746	64	10
RF02747	2	2
RF02748	22	10
RF02749	17	10
RF02750	29	10
RF02751	98	10
RF02752	61	10
RF02753	32	10
RF02754	3	3
RF02755	115	10
RF02756	6	6
RF02757	467	10
RF02758	1	1
RF02760	5	5
RF02761	1	1
RF02762	10	10
RF02763	1	1
RF02764	62	10
RF02765	22	10
RF02766	45	10
RF02767	14	10
RF02768	408	10
RF02769	1	1
RF02770	1032	10
RF02771	1	1
RF02772	1	1
RF02773	180	10
RF02774	22	10
RF02775	24	10
RF02776	1	1
RF02777	2	2
RF02778	29	10
RF02779	21	10
RF02780	17	10
RF02781	10	10
RF02782	497	10
RF02783	145	10
RF02784	1348	10
RF02785	3	3
RF02786	8	8
RF02787	6	6
RF02788	20	10
RF02789	8	8
RF02790	818	10
RF02792	30	10
RF02793	5	5
RF02794	45	10
RF02795	4	4
RF02796	41	10
RF02797	219	10
RF02798	38	10
RF02799	3	3
RF02800	1009	10
RF02801	12	10
RF02802	6	6
RF02803	5	5
RF02805	10	10
RF02806	4	4
RF02807	1	1
RF02808	9	9
RF02809	35	10
RF02811	1	1
RF02812	885	10
RF02813	18	10
RF02814	40	10
RF02815	6	6
RF02816	15	10
RF02818	3798	10
RF02819	6540	10
RF02820	862	10
RF02821	2	2
RF02823	239	10
RF02824	40	10
RF02825	43	10
RF02826	168	10
RF02827	219	10
RF02828	688	10
RF02829	627	10
RF02830	848	10
RF02831	323	10
RF02832	732	10
RF02833	333	10
RF02834	77	10
RF02835	1148	10
RF02836	687	10
RF02837	2173	10
RF02838	7	7
RF02839	3	3
RF02840	248	10
RF02841	20	10
RF02842	18	10
RF02843	2	2
RF02844	14	10
RF02845	6	6
RF02846	79	10
RF02847	30	10
RF02848	135	10
RF02849	1446	10
RF02850	1405	10
RF02851	77	10
RF02852	18	10
RF02853	2	2
RF02854	12	10
RF02855	768	10
RF02856	1	1
RF02857	3	3
RF02858	30	10
RF02859	22	10
RF02860	33	10
RF02861	45	10
RF02862	157	10
RF02863	170	10
RF02864	34	10
RF02865	149	10
RF02866	168	10
RF02867	195	10
RF02868	40	10
RF02869	121	10
RF02870	63	10
RF02871	228	10
RF02872	463	10
RF02873	5	5
RF02874	8	8
RF02875	19	10
RF02876	19	10
RF02877	150	10
RF02878	107	10
RF02879	116	10
RF02880	39	10
RF02881	46	10
RF02882	88	10
RF02883	193	10
RF02884	248	10
RF02885	32	10
RF02886	111	10
RF02887	76	10
RF02888	4	4
RF02889	13	10
RF02890	5	5
RF02891	78	10
RF02892	5	5
RF02893	388	10
RF02894	110	10
RF02895	179	10
RF02896	26	10
RF02897	36	10
RF02898	90	10
RF02899	73	10
RF02900	22	10
RF02901	198	10
RF02902	425	10
RF02903	10	10
RF02904	12	10
RF02905	43	10
RF02906	18	10
RF02907	15	10
RF02908	33	10
RF02909	30	10
RF02911	49	10
RF02912	76	10
RF02913	2656	10
RF02914	8297	10
RF02915	186	10
RF02916	246	10
RF02917	52	10
RF02918	50	10
RF02919	83	10
RF02920	87	10
RF02921	311	10
RF02922	61	10
RF02923	43	10
RF02925	180	10
RF02926	27	10
RF02927	2	2
RF02928	174	10
RF02929	123	10
RF02930	157	10
RF02931	35	10
RF02932	167	10
RF02933	4	4
RF02934	19	10
RF02935	764	10
RF02936	3	3
RF02937	689	10
RF02938	125	10
RF02940	708	10
RF02941	57	10
RF02942	59	10
RF02943	15	10
RF02944	510	10
RF02945	68	10
RF02946	125	10
RF02947	13	10
RF02949	34	10
RF02950	1	1
RF02951	213	10
RF02952	67	10
RF02953	5	5
RF02954	5	5
RF02955	87	10
RF02957	369	10
RF02958	568	10
RF02959	29	10
RF02960	152	10
RF02961	37	10
RF02962	71	10
RF02963	28	10
RF02964	214	10
RF02965	334	10
RF02966	85	10
RF02967	261	10
RF02968	452	10
RF02969	366	10
RF02971	19	10
RF02972	86	10
RF02973	4	4
RF02974	10	10
RF02975	752	10
RF02976	1	1
RF02977	146	10
RF02978	17	10
RF02980	3	3
RF02981	60	10
RF02982	135	10
RF02983	23	10
RF02984	134	10
RF02985	32	10
RF02986	88	10
RF02987	1417	10
RF02989	103	10
RF02990	20	10
RF02991	35	10
RF02992	172	10
RF02993	157	10
RF02994	43	10
RF02995	39	10
RF02996	2100	10
RF02999	505	10
RF03000	11	10
RF03001	93	10
RF03002	10	10
RF03003	224	10
RF03004	13	10
RF03005	108	10
RF03006	38	10
RF03007	7	7
RF03008	59	10
RF03009	43	10
RF03010	8	8
RF03011	70	10
RF03012	11	10
RF03013	140	10
RF03014	111	10
RF03015	536	10
RF03016	52	10
RF03017	45	10
RF03018	217	10
RF03019	99	10
RF03020	84	10
RF03021	99	10
RF03022	38	10
RF03023	33	10
RF03024	6	6
RF03025	35	10
RF03026	765	10
RF03027	68	10
RF03028	56	10
RF03029	1	1
RF03030	8	8
RF03031	325	10
RF03032	683	10
RF03033	69	10
RF03034	722	10
RF03035	42	10
RF03036	99	10
RF03037	45	10
RF03038	91	10
RF03039	207	10
RF03040	106	10
RF03041	192	10
RF03042	34	10
RF03043	8	8
RF03044	259	10
RF03045	87	10
RF03046	75	10
RF03047	12	10
RF03048	5	5
RF03050	12	10
RF03052	55	10
RF03054	877	10
RF03056	28	10
RF03057	1293	10
RF03058	1111	10
RF03059	322	10
RF03060	259	10
RF03061	19	10
RF03062	71	10
RF03063	850	10
RF03064	1422	10
RF03065	8	8
RF03066	13	10
RF03067	2922	10
RF03068	112	10
RF03069	1070	10
RF03070	96	10
RF03071	399	10
RF03072	2245	10
RF03074	937	10
RF03075	326	10
RF03076	970	10
RF03077	245	10
RF03078	1601	10
RF03079	248	10
RF03080	28	10
RF03081	2632	10
RF03082	106	10
RF03085	387	10
RF03086	714	10
RF03087	226	10
RF03088	1	1
RF03090	3	3
RF03091	1	1
RF03093	26	10
RF03094	4	4
RF03097	6	6
RF03098	4	4
RF03100	3	3
RF03101	4	4
RF03104	2	2
RF03105	1	1
RF03106	9	9
RF03108	38	10
RF03109	30	10
RF03111	19	10
RF03112	87	10
RF03114	1	1
RF03115	62	10
RF03116	30	10
RF03117	15	10
RF03118	2	2
RF03119	7	7
RF03120	7	7
RF03121	26	10
RF03122	18	10
RF03123	5	5
RF03124	7	7
RF03125	5	5
RF03126	97	10
RF03127	621	10
RF03128	82	10
RF03129	91	10
RF03130	238	10
RF03131	71	10
RF03132	747	10
RF03133	61	10
RF03134	77	10
RF03135	474	10
RF03136	3032	10
RF03137	109	10
RF03138	168	10
RF03139	156	10
RF03140	137	10
RF03141	233	10
RF03142	667	10
RF03143	355	10
RF03144	202	10
RF03145	3	3
RF03146	14	10
RF03147	30	10
RF03148	69	10
RF03149	1	1
RF03150	1	1
RF03151	319	10
RF03152	4	4
RF03154	10	10
RF03155	966	10
RF03156	295	10
RF03157	727	10
RF03158	1677	10
RF03159	7	7
RF03160	5360	10
RF03162	1046	10
RF03163	1679	10
RF03164	22	10
RF03165	510	10
RF03166	1435	10
RF03167	9003	10
RF03168	6731	10
RF03169	2022	10
RF03170	702	10
RF03171	2	2
RF03172	32	10
RF03173	15	10
RF03174	41	10
RF03175	50	10
RF03176	52	10
RF03177	1	1
RF03178	4	4
RF03179	14	10
RF03180	16	10
RF03181	23	10
RF03182	8	8
RF03183	7	7
RF03184	9	9
RF03185	11	10
RF03186	112	10
RF03187	15	10
RF03188	19	10
RF03189	129	10
RF03190	3	3
RF03191	7	7
RF03192	14	10
RF03193	29	10
RF03194	14	10
RF03195	9	9
RF03196	14	10
RF03197	45	10
RF03198	10	10
RF03199	14	10
RF03200	2	2
RF03201	23	10
RF03202	13	10
RF03203	12	10
RF03204	13	10
RF03205	25	10
RF03206	12	10
RF03207	13	10
RF03208	273	10
RF03209	31	10
RF03210	3	3
RF03211	5	5
RF03212	76	10
RF03213	18	10
RF03215	15	10
RF03216	2	2
RF03217	8	8
RF03218	75	10
RF03219	8	8
RF03220	4	4
RF03221	9	9
RF03222	17	10
RF03223	2	2
RF03224	22	10
RF03225	41	10
RF03226	6	6
RF03227	83	10
RF03228	11	10
RF03229	39	10
RF03230	2	2
RF03231	7	7
RF03232	89	10
RF03233	2	2
RF03234	2	2
RF03235	8	8
RF03236	9	9
RF03237	23	10
RF03238	5	5
RF03239	3	3
RF03240	320	10
RF03242	58	10
RF03243	6	6
RF03244	57	10
RF03246	3	3
RF03247	52	10
RF03248	18	10
RF03249	17	10
RF03251	22	10
RF03252	2	2
RF03253	10	10
RF03254	15	10
RF03255	117	10
