family	n_sequences_total	n_sequences_sampled
RF00316	11	10
RF00317	35	10
RF00318	7	7
RF00319	970	10
RF00320	12	10
RF00321	5903	10
RF00322	1732	10
RF00323	3	3
RF00324	618	10
RF00325	1434	10
RF00326	328	10
RF00327	44	10
RF00328	460	10
RF00329	104	10
RF00330	624	10
RF00331	9	9
RF00332	600	10
RF00333	617	10
RF00334	1728	10
RF00335	976	10
RF00336	23	10
RF00337	357	10
RF00338	5	5
RF00339	800	10
RF00340	977	10
RF00341	512	10
RF00342	312	10
RF00343	666	10
RF00344	402	10
RF00345	562	10
RF00348	91	10
RF00349	602	10
RF00350	494	10
RF00351	66	10
RF00352	340	10
RF00353	412	10
RF00355	222	10
RF00356	181	10
RF00357	894	10
RF00358	823	10
RF00359	1014	10
RF00360	573	10
RF00361	63	10
RF00362	16	10
RF00363	2	2
RF00364	8	8
RF00365	3	3
RF00366	6	6
RF00367	1	1
RF00368	231	10
RF00369	245	10
RF00370	157	10
RF00371	71	10
RF00372	79	10
RF00373	2339	10
RF00374	44	10
RF00375	144	10
RF00376	112	10
RF00377	635	10
RF00378	558	10
RF00379	21687	10
RF00380	4944	10
RF00381	295	10
RF00382	295	10
RF00383	196	10
RF00384	11	10
RF00385	19	10
RF00386	155	10
RF00387	103	10
RF00388	7	7
RF00389	41	10
RF00390	4	4
RF00391	2432	10
RF00392	2015	10
RF00393	1221	10
RF00394	242	10
RF00396	915	10
RF00397	720	10
RF00398	860	10
RF00399	638	10
RF00400	715	10
RF00401	348	10
RF00402	845	10
RF00403	557	10
RF00404	499	10
RF00405	903	10
RF00406	1334	10
RF00407	449	10
RF00408	1079	10
RF00409	6169	10
RF00410	2331	10
RF00411	998	10
RF00412	597	10
RF00413	924	10
RF00414	648	10
RF00415	327	10
RF00416	417	10
RF00417	121	10
RF00418	391	10
RF00419	535	10
RF00420	726	10
RF00421	528	10
RF00422	437	10
RF00423	551	10
RF00424	679	10
RF00425	1356	10
RF00426	483	10
RF00427	354	10
RF00428	532	10
RF00429	793	10
RF00430	1010	10
RF00431	1241	10
RF00432	1897	10
RF00433	12	10
RF00434	28	10
RF00435	1105	10
RF00436	147100	10
RF00437	12	10
RF00438	1061	10
RF00439	352	10
RF00440	391	10
RF00441	16	10
RF00442	5623	10
RF00443	619	10
RF00444	1135	10
RF00445	1678	10
RF00446	532	10
RF00447	93	10
RF00448	8	8
RF00449	112	10
RF00451	2112	10
RF00452	1237	10
RF00453	5	5
RF00454	55	10
RF00455	757	10
RF00456	1078	10
RF00457	93	10
RF00458	17	10
RF00459	2777	10
RF00460	344	10
RF00461	88	10
RF00462	11	10
RF00463	18	10
RF00464	450	10
RF00467	68	10
RF00468	55	10
RF00470	29	10
RF00471	69	10
RF00472	76	10
RF00473	83	10
RF00474	65	10
RF00475	119	10
RF00476	1083	10
RF00477	25	10
RF00478	1250	10
RF00479	69	10
RF00480	169	10
RF00481	11	10
RF00482	268	10
RF00483	70	10
RF00484	66	10
RF00485	10047	10
RF00486	490	10
RF00487	509	10
RF00488	30	10
RF00489	571	10
RF00490	986	10
RF00492	223	10
RF00493	386	10
RF00494	769	10
RF00495	65	10
RF00498	3	3
RF00499	5	5
RF00500	3	3
RF00501	12	10
RF00502	3	3
RF00503	27	10
RF00504	25727	10
RF00505	26	10
RF00506	800	10
RF00507	78	10
RF00509	40	10
RF00510	27	10
RF00511	4	4
RF00512	535	10
RF00513	684	10
RF00514	1064	10
RF00515	2296	10
RF00516	966	10
RF00517	2157	10
RF00518	1070	10
RF00519	6325	10
RF00520	197	10
RF00521	4732	10
RF00522	1444	10
RF00523	357	10
RF00524	2389	10
RF00525	104	10
RF00526	41	10
RF00527	40	10
RF00528	84	10
RF00529	77	10
RF00530	64	10
RF00531	35	10
RF00532	92	10
RF00533	38	10
RF00534	238	10
RF00535	87	10
RF00536	43	10
RF00537	46	10
RF00538	54	10
RF00539	21	10
RF00540	63	10
RF00541	16	10
RF00542	78	10
RF00543	108	10
RF00544	49	10
RF00545	109	10
RF00546	82	10
RF00547	128	10
RF00548	2326	10
RF00549	120	10
RF00550	46	10
RF00551	29	10
RF00552	165	10
RF00553	604	10
RF00554	1845	10
RF00555	425	10
RF00556	390	10
RF00557	7790	10
