family,model,n_truth,n_scored,n_missing,n_invalid,coverage,mean_f1,mean_mcc
RF02780,rnafold,17,17,0,0,1.0,0.047559721184009605,0.041985481995573615
RF02781,rnafold,10,10,0,0,1.0,0.1886734939260165,0.1849306546108365
RF02787,rnafold,6,6,0,0,1.0,0.16666666666666666,0.16240246420950455
RF02789,rnafold,8,8,0,0,1.0,0.188197498463139,0.18439930464069396
RF02793,rnafold,5,5,0,0,1.0,0.7738655462184874,0.771632525455123
RF02800,rnafold,25,25,0,0,1.0,0.056297230344068645,0.054816091971370016
RF02803,rnafold,5,5,0,0,1.0,0.05714285714285714,0.049486882766629284
RF02813,rnafold,18,18,0,0,1.0,0.11027836136452092,0.10612264047812757
RF02821,rnafold,2,2,0,0,1.0,0.9199999999999999,0.9210093549971592
RF02823,rnafold,25,25,0,0,1.0,0.25126528664176556,0.24837920072807784
RF02827,rnafold,25,25,0,0,1.0,0.8250515273272561,0.8239092000286088
RF02831,rnafold,25,25,0,0,1.0,0.6666114801718517,0.6644717016403449
RF02835,rnafold,25,25,0,0,1.0,0.016922010532092073,0.011813546917798446
RF02836,rnafold,25,25,0,0,1.0,0.04245928285000741,0.03897259233744458
RF02841,rnafold,20,20,0,0,1.0,0.3334710610736492,0.33331924101363186
RF02854,rnafold,12,12,0,0,1.0,0.6442908478366162,0.6438076202293488
RF02856,rnafold,1,1,0,0,1.0,1.0,1.0
RF02857,rnafold,3,3,0,0,1.0,0.2260355146953085,0.22499816064979636
RF02875,rnafold,19,19,0,0,1.0,0.6981687645844307,0.6971768210198401
RF02879,rnafold,25,25,0,0,1.0,0.053589945726684324,0.05112180606262706
RF02881,rnafold,25,25,0,0,1.0,0.02450297975132486,0.023661411253623813
RF02882,rnafold,25,25,0,0,1.0,0.11325042390787692,0.10729251295409314
RF02888,rnafold,4,4,0,0,1.0,0.0,-0.00856147083114427
RF02889,rnafold,13,13,0,0,1.0,0.2574864909075584,0.2559360670967108
RF02896,rnafold,25,25,0,0,1.0,0.02390808927394293,0.022746529651588108
RF02902,rnafold,25,25,0,0,1.0,0.7102084558247829,0.7091873814142207
RF02907,rnafold,15,15,0,0,1.0,0.47715106732348117,0.47504096280032726
RF02909,rnafold,25,25,0,0,1.0,0.20269497630010969,0.2022778340251649
