model,n_truth,n_scored,n_missing,n_invalid,coverage,mean_f1,mean_mcc
sincfold_published,336678,335648,1030,0,0.996940697045842,0.48935955179161866,0.5034681876002508
sincfold_retrained,336678,335648,1030,0,0.996940697045842,0.33556095519670903,0.3417391256412538
lyra_transpred,336678,327390,9288,0,0.9724128098658065,0.5917451590764969,0.603386370279212
