model,n_truth,n_scored,n_missing,n_invalid,coverage,mean_f1,mean_mcc
published,336678,335648,1030,0,0.996940697045842,0.48935955179161866,0.5034681876002508
retrained,336678,335648,1030,0,0.996940697045842,0.33556095519670903,0.3417391256412538
